# L-1 Basic VCO
# uncalibrated
#
# second series, descending from 0
# nom,  volt,      vsd,         freq,       fsd
# V,    V,         V,           Hz,         mHz
# 3Hz is lower limit of Keysight 34465A frequency measurement.
-5.0,  -4.99994,   0.000001,    3.331142,   0.4628
-4.5,  -4.49990,   0.000002,    4.759217,   0.9170
-4.0,  -3.99992,   0.000001,    6.744772,   1.340
-3.5,  -3.49994,   0.000001,    9.557995,   1.465
-3.0,  -2.99995,   0.000001,    13.54163,   1.578
-2.5,  -2.49995,   0.000000,    19.20071,   2.498
-2.0,  -1.99992,   0.000001,    27.24627,   3.576
-1.5,  -1.49994,   0.000001,    38.64557,   3.384
-1.0,  -0.999947,  0.0000004,   54.81442,   4.847
-0.5,  -0.499957,  0.0000004,   77.73239,   8.284
0,     0.000004V,  0.0000005,   110.2927,   14.23
#
# start, ascending
0,     0.000001,  .00000047,   110.1106,   23.162
0.5,   0.499983,  .0000007,    156.0775,   43.24
1.0,   0.999969,   .0000006,   221.1822,   15.56
1.5,   1.49996,    .000000,    313.3525,   21.69
2.0,   1.99995,    .000001,    443.8883,   37.36
2.5,   2.49998,    .000001,    628.5033,   42.64
3.0,   2.99997,    .000001,    890.0407,   45.67
3.5,   3.49997,    .000001,    1259.834,   67.95
4.0,   3.99994,    .000001,    1782.991,   98.69
4.5,   4.49993,    .000001,    2521.784,   76.69
5.0,   4.99996,    .000002,    3566.243,   73.31
5.5,   5.49995,    .000001,    5048.212,   84.34
6.0    5.99996,    .000002,    7154.677,   237.4
6.5,   6.49994,    .000002,    10057.07,   197.73
7.0,   6.99993,    .000002,    13215.62,   142.98
7.5,   7.49997,    .000002,    14338.39,   314.30
8.0,   7.99998,    .000001,    14788.36,   447.80
8.5,   8.49997,    .000001,    15062.89,   448.52
# upper limit of linear frequency range at this coarse tune setting is 13kHz!
# frequency nt increasing much beond 8.5V.


# 28.3C at start, in case; range 28.0 to 28.4, at end 28.2
# 50 samples for freq, seems less stable than Dixie2
# https://docs.google.com/spreadsheets/d/1rH7azlSdG5oyjxDuQjsCqD-szZU5c6fBhY75L3-pidg/edit?usp=sharing
